sex,age,month,year,source,monthly_us_population,count_alldrug,count_opioid,count_heroin,count_stimulant
F,0-14,1,2018,ED,14060866,1180,28,0,40
F,0-14,2,2018,ED,14054363,1106,40,0,64
F,0-14,3,2018,ED,14047860,1180,28,0,60
F,0-14,4,2018,ED,14041357,1110,33,0,56
F,0-14,5,2018,ED,14034853,1222,36,0,44
F,0-14,6,2018,ED,14028350,1029,34,0,36
F,0-14,7,2018,ED,14021847,1141,43,0,42
F,0-14,8,2018,ED,14013477,1180,49,0,53
F,0-14,9,2018,ED,14005107,1064,33,0,43
F,0-14,10,2018,ED,13996737,1189,36,0,41
F,0-14,11,2018,ED,13988366,1080,28,0,42
F,0-14,12,2018,ED,13979996,1108,35,0,48
F,0-14,1,2019,ED,13971626,1043,27,0,46
F,0-14,2,2019,ED,13963256,1087,27,0,45
F,0-14,3,2019,ED,13954886,1101,21,0,48
F,0-14,4,2019,ED,13946516,1087,26,0,44
F,0-14,5,2019,ED,13938145,1210,38,0,48
F,0-14,6,2019,ED,13929775,1081,46,0,41
F,0-14,7,2019,ED,13921405,1083,36,0,41
F,0-14,8,2019,ED,13918323,1083,30,0,50
F,0-14,9,2019,ED,13915240,1159,30,0,51
F,0-14,10,2019,ED,13912158,1127,35,0,51
F,0-14,11,2019,ED,13909075,1022,38,0,33
F,0-14,12,2019,ED,13905993,1077,34,0,46
F,0-14,1,2020,ED,14288833,1125,33,0,59
F,0-14,2,2020,ED,14285469,1068,24,0,43
F,0-14,3,2020,ED,14282104,903,32,0,37
F,0-14,4,2020,ED,14278740,697,21,0,57
F,0-14,5,2020,ED,14275375,879,44,0,39
F,0-14,6,2020,ED,14272010,904,31,0,29
F,0-14,7,2020,ED,14268646,991,31,0,36
F,0-14,8,2020,ED,14250292,1018,26,0,32
F,0-14,9,2020,ED,14231938,944,36,0,38
F,0-14,10,2020,ED,14213585,1052,36,0,40
F,0-14,11,2020,ED,14195231,1049,30,0,52
F,0-14,12,2020,ED,14176877,891,26,0,48
F,0-14,1,2021,ED,14158524,941,29,0,36
F,0-14,2,2021,ED,14140170,950,37,0,43
F,0-14,3,2021,ED,14121816,1103,28,0,50
F,0-14,4,2021,ED,14103462,1186,31,0,54
F,0-14,5,2021,ED,14085109,1183,30,0,34
F,0-14,6,2021,ED,14066755,1154,33,0,42
F,0-14,7,2021,ED,14048401,1143,38,0,43
F,0-14,8,2021,ED,14031872,1256,39,0,56
F,0-14,9,2021,ED,14015343,1085,52,0,46
F,0-14,10,2021,ED,13998814,1089,36,0,48
F,0-14,11,2021,ED,13982285,1055,34,0,26
F,0-14,12,2021,ED,13965756,985,34,0,36
F,0-14,1,2022,ED,13565665,978,23,0,47
F,0-14,2,2022,ED,13549144,929,32,0,37
F,0-14,3,2022,ED,13532624,1161,34,0,46
F,0-14,4,2022,ED,13516104,1045,29,0,34
F,0-14,5,2022,ED,13499584,1101,42,0,50
F,0-14,6,2022,ED,13483063,1055,23,0,35
F,0-14,7,2022,ED,13466543,1037,24,0,40
F,0-14,8,2022,ED,13450023,1090,32,0,50
F,0-14,9,2022,ED,13433502,1081,45,0,44
F,0-14,10,2022,ED,13416982,1168,36,0,43
F,0-14,11,2022,ED,13400462,1069,41,0,40
F,0-14,12,2022,ED,13383942,995,31,0,37
F,15-24,1,2018,ED,9948969,1155,277,192,68
F,15-24,2,2018,ED,9942412,1073,272,185,106
F,15-24,3,2018,ED,9935856,1247,330,229,83
F,15-24,4,2018,ED,9929300,1197,282,191,96
F,15-24,5,2018,ED,9922744,1212,316,220,85
F,15-24,6,2018,ED,9916188,1133,319,226,89
F,15-24,7,2018,ED,9909632,1151,304,223,82
F,15-24,8,2018,ED,9904605,1156,280,193,96
F,15-24,9,2018,ED,9899578,1196,276,173,98
F,15-24,10,2018,ED,9894551,1267,309,207,79
F,15-24,11,2018,ED,9889524,1137,242,152,71
F,15-24,12,2018,ED,9884497,1076,281,167,82
F,15-24,1,2019,ED,9879471,1121,218,137,73
F,15-24,2,2019,ED,9874444,1028,227,141,85
F,15-24,3,2019,ED,9869417,1101,252,150,82
F,15-24,4,2019,ED,9864390,1158,243,149,95
F,15-24,5,2019,ED,9859363,1187,262,159,96
F,15-24,6,2019,ED,9854336,1108,288,175,87
F,15-24,7,2019,ED,9849309,1230,331,163,95
F,15-24,8,2019,ED,9871568,1175,317,171,87
F,15-24,9,2019,ED,9893826,1264,307,166,108
F,15-24,10,2019,ED,9916085,1254,302,151,90
F,15-24,11,2019,ED,9938343,1137,286,136,71
F,15-24,12,2019,ED,9960602,1193,318,146,91
F,15-24,1,2020,ED,10246201,1157,264,116,76
F,15-24,2,2020,ED,10269253,1187,300,134,61
F,15-24,3,2020,ED,10292306,1116,313,140,71
F,15-24,4,2020,ED,10315358,1043,362,147,74
F,15-24,5,2020,ED,10338411,1222,427,165,88
F,15-24,6,2020,ED,10361463,1192,393,152,81
F,15-24,7,2020,ED,10384516,1397,471,177,101
F,15-24,8,2020,ED,10377878,1344,374,126,103
F,15-24,9,2020,ED,10371240,1303,409,132,84
F,15-24,10,2020,ED,10364602,1361,372,116,85
F,15-24,11,2020,ED,10357964,1152,302,94,78
F,15-24,12,2020,ED,10351326,1149,347,118,62
F,15-24,1,2021,ED,10344688,1205,364,113,67
F,15-24,2,2021,ED,10338049,1115,293,81,70
F,15-24,3,2021,ED,10331411,1382,390,116,86
F,15-24,4,2021,ED,10324773,1432,400,94,88
F,15-24,5,2021,ED,10318135,1436,404,85,97
F,15-24,6,2021,ED,10311497,1315,449,124,67
F,15-24,7,2021,ED,10304859,1320,412,104,86
F,15-24,8,2021,ED,10309834,1348,429,106,66
F,15-24,9,2021,ED,10314810,1284,360,91,71
F,15-24,10,2021,ED,10319786,1221,350,85,76
F,15-24,11,2021,ED,10324761,1226,323,55,66
F,15-24,12,2021,ED,10329737,1115,360,80,66
F,15-24,1,2022,ED,10060524,1092,339,72,67
F,15-24,2,2022,ED,10065218,1074,292,48,65
F,15-24,3,2022,ED,10069913,1287,411,69,86
F,15-24,4,2022,ED,10074608,1154,348,66,80
F,15-24,5,2022,ED,10079302,1226,339,53,84
F,15-24,6,2022,ED,10083997,1038,344,68,58
F,15-24,7,2022,ED,10088692,1137,393,59,65
F,15-24,8,2022,ED,10093387,1208,373,51,70
F,15-24,9,2022,ED,10098082,1222,361,38,88
F,15-24,10,2022,ED,10102776,1248,364,34,55
F,15-24,11,2022,ED,10107471,1130,282,36,53
F,15-24,12,2022,ED,10112166,1024,292,36,52
F,25-34,1,2018,ED,10625810,1296,610,455,102
F,25-34,2,2018,ED,10629380,1136,571,414,108
F,25-34,3,2018,ED,10632950,1374,726,540,127
F,25-34,4,2018,ED,10636520,1330,659,491,130
F,25-34,5,2018,ED,10640090,1433,735,534,129
F,25-34,6,2018,ED,10643660,1371,707,505,144
F,25-34,7,2018,ED,10647230,1531,746,548,165
F,25-34,8,2018,ED,10650821,1473,739,540,138
F,25-34,9,2018,ED,10654412,1370,686,489,122
F,25-34,10,2018,ED,10658003,1406,691,502,138
F,25-34,11,2018,ED,10661593,1206,616,430,117
F,25-34,12,2018,ED,10665184,1289,620,445,101
F,25-34,1,2019,ED,10668775,1156,570,402,108
F,25-34,2,2019,ED,10672366,1151,537,366,103
F,25-34,3,2019,ED,10675957,1290,605,421,133
F,25-34,4,2019,ED,10679548,1310,621,412,114
F,25-34,5,2019,ED,10683138,1424,674,445,163
F,25-34,6,2019,ED,10686729,1429,715,473,126
F,25-34,7,2019,ED,10690320,1574,795,501,143
F,25-34,8,2019,ED,10679957,1487,738,452,145
F,25-34,9,2019,ED,10669594,1418,668,449,139
F,25-34,10,2019,ED,10659231,1381,677,417,131
F,25-34,11,2019,ED,10648868,1356,694,435,114
F,25-34,12,2019,ED,10638505,1311,663,393,123
F,25-34,1,2020,ED,10890983,1338,643,379,128
F,25-34,2,2020,ED,10880107,1346,684,413,117
F,25-34,3,2020,ED,10869231,1439,807,476,123
F,25-34,4,2020,ED,10858355,1311,752,432,118
F,25-34,5,2020,ED,10847478,1627,876,487,146
F,25-34,6,2020,ED,10836602,1598,896,508,118
F,25-34,7,2020,ED,10825726,1703,920,464,172
F,25-34,8,2020,ED,10817738,1619,851,430,143
F,25-34,9,2020,ED,10809749,1596,816,420,133
F,25-34,10,2020,ED,10801761,1534,789,415,136
F,25-34,11,2020,ED,10793773,1414,762,402,130
F,25-34,12,2020,ED,10785784,1387,757,390,90
F,25-34,1,2021,ED,10777796,1414,743,346,130
F,25-34,2,2021,ED,10769808,1321,663,312,114
F,25-34,3,2021,ED,10761819,1634,867,384,122
F,25-34,4,2021,ED,10753831,1684,923,440,146
F,25-34,5,2021,ED,10745843,1766,919,400,159
F,25-34,6,2021,ED,10737854,1712,906,401,146
F,25-34,7,2021,ED,10729866,1749,959,419,145
F,25-34,8,2021,ED,10726721,1684,911,376,152
F,25-34,9,2021,ED,10723576,1574,880,333,98
F,25-34,10,2021,ED,10720431,1524,836,324,100
F,25-34,11,2021,ED,10717286,1367,748,284,111
F,25-34,12,2021,ED,10714141,1420,825,276,121
F,25-34,1,2022,ED,10448995,1289,706,267,82
F,25-34,2,2022,ED,10445654,1219,681,243,109
F,25-34,3,2022,ED,10442314,1386,740,261,110
F,25-34,4,2022,ED,10438973,1395,749,247,106
F,25-34,5,2022,ED,10435633,1583,813,245,142
F,25-34,6,2022,ED,10432292,1476,830,242,124
F,25-34,7,2022,ED,10428952,1529,811,196,106
F,25-34,8,2022,ED,10425612,1515,833,213,125
F,25-34,9,2022,ED,10422271,1393,761,188,90
F,25-34,10,2022,ED,10418931,1350,731,167,97
F,25-34,11,2022,ED,10415590,1306,693,181,84
F,25-34,12,2022,ED,10412250,1310,711,164,86
F,35-54,1,2018,ED,19591209,1644,595,325,95
F,35-54,2,2018,ED,19583162,1495,596,352,106
F,35-54,3,2018,ED,19575115,1706,691,413,127
F,35-54,4,2018,ED,19567068,1622,624,341,112
F,35-54,5,2018,ED,19559021,1770,710,409,127
F,35-54,6,2018,ED,19550974,1847,750,448,136
F,35-54,7,2018,ED,19542927,1986,718,414,148
F,35-54,8,2018,ED,19533386,1895,752,448,127
F,35-54,9,2018,ED,19523846,1760,694,406,123
F,35-54,10,2018,ED,19514305,1780,687,405,106
F,35-54,11,2018,ED,19504765,1540,570,320,100
F,35-54,12,2018,ED,19495224,1575,633,362,110
F,35-54,1,2019,ED,19485684,1488,551,303,103
F,35-54,2,2019,ED,19476143,1448,556,304,109
F,35-54,3,2019,ED,19466602,1624,624,338,118
F,35-54,4,2019,ED,19457062,1601,625,339,117
F,35-54,5,2019,ED,19447521,1803,725,436,144
F,35-54,6,2019,ED,19437981,1732,667,375,122
F,35-54,7,2019,ED,19428440,1946,804,461,175
F,35-54,8,2019,ED,19426782,1880,780,412,149
F,35-54,9,2019,ED,19425124,1703,704,355,123
F,35-54,10,2019,ED,19423466,1704,669,337,134
F,35-54,11,2019,ED,19421808,1609,658,366,117
F,35-54,12,2019,ED,19420150,1630,657,357,121
F,35-54,1,2020,ED,19891718,1742,706,369,117
F,35-54,2,2020,ED,19889785,1708,723,371,111
F,35-54,3,2020,ED,19887852,1666,758,394,107
F,35-54,4,2020,ED,19885919,1616,849,428,113
F,35-54,5,2020,ED,19883986,2105,1101,545,129
F,35-54,6,2020,ED,19882053,2005,996,470,113
F,35-54,7,2020,ED,19880120,2207,1123,548,146
F,35-54,8,2020,ED,19876051,2162,987,487,150
F,35-54,9,2020,ED,19871981,1925,889,432,159
F,35-54,10,2020,ED,19867912,1902,882,411,140
F,35-54,11,2020,ED,19863843,1738,725,349,135
F,35-54,12,2020,ED,19859773,1685,773,336,117
F,35-54,1,2021,ED,19855704,1777,819,380,126
F,35-54,2,2021,ED,19851635,1684,766,339,132
F,35-54,3,2021,ED,19847565,2122,1025,406,164
F,35-54,4,2021,ED,19843496,2109,1030,429,169
F,35-54,5,2021,ED,19839427,2165,979,408,157
F,35-54,6,2021,ED,19835357,2254,1068,464,156
F,35-54,7,2021,ED,19831288,2425,1190,480,150
F,35-54,8,2021,ED,19829008,2286,1146,439,147
F,35-54,9,2021,ED,19826729,2100,1016,374,145
F,35-54,10,2021,ED,19824449,1982,974,385,143
F,35-54,11,2021,ED,19822169,1814,884,303,117
F,35-54,12,2021,ED,19819890,1934,1028,353,123
F,35-54,1,2022,ED,19337355,1676,840,300,123
F,35-54,2,2022,ED,19334546,1662,767,258,138
F,35-54,3,2022,ED,19331736,1881,948,317,131
F,35-54,4,2022,ED,19328927,1849,884,274,141
F,35-54,5,2022,ED,19326117,1991,995,318,135
F,35-54,6,2022,ED,19323308,2025,1019,309,154
F,35-54,7,2022,ED,19320498,2201,1074,308,154
F,35-54,8,2022,ED,19317689,2159,1040,296,193
F,35-54,9,2022,ED,19314879,1892,970,258,115
F,35-54,10,2022,ED,19312070,1921,947,254,99
F,35-54,11,2022,ED,19309260,1804,874,222,121
F,35-54,12,2022,ED,19306451,1786,885,228,97
F,55+,1,2018,ED,23178697,1547,373,84,21
F,55+,2,2018,ED,23214963,1309,340,77,30
F,55+,3,2018,ED,23251229,1474,366,81,33
F,55+,4,2018,ED,23287496,1516,349,78,24
F,55+,5,2018,ED,23323762,1592,390,105,27
F,55+,6,2018,ED,23360028,1594,386,104,36
F,55+,7,2018,ED,23396294,1589,395,100,38
F,55+,8,2018,ED,23430722,1673,428,123,36
F,55+,9,2018,ED,23465150,1503,401,116,33
F,55+,10,2018,ED,23499578,1506,408,125,29
F,55+,11,2018,ED,23534006,1410,391,107,27
F,55+,12,2018,ED,23568434,1433,341,77,23
F,55+,1,2019,ED,23602862,1414,338,83,28
F,55+,2,2019,ED,23637289,1330,328,89,23
F,55+,3,2019,ED,23671717,1560,385,103,24
F,55+,4,2019,ED,23706145,1483,396,109,46
F,55+,5,2019,ED,23740573,1665,445,122,32
F,55+,6,2019,ED,23775001,1628,460,115,34
F,55+,7,2019,ED,23809429,1705,443,122,41
F,55+,8,2019,ED,23814860,1673,460,130,38
F,55+,9,2019,ED,23820292,1568,426,107,29
F,55+,10,2019,ED,23825723,1474,371,100,37
F,55+,11,2019,ED,23831154,1402,382,122,37
F,55+,12,2019,ED,23836586,1447,394,110,38
F,55+,1,2020,ED,24444340,1520,402,114,40
F,55+,2,2020,ED,24449128,1462,406,130,31
F,55+,3,2020,ED,24453916,1299,398,132,38
F,55+,4,2020,ED,24458704,989,318,95,28
F,55+,5,2020,ED,24463491,1338,451,161,47
F,55+,6,2020,ED,24468279,1395,455,128,23
F,55+,7,2020,ED,24473067,1608,531,178,34
F,55+,8,2020,ED,24492233,1508,477,150,30
F,55+,9,2020,ED,24511399,1494,463,145,31
F,55+,10,2020,ED,24530564,1391,431,128,37
F,55+,11,2020,ED,24549730,1346,410,109,28
F,55+,12,2020,ED,24568896,1331,396,110,36
F,55+,1,2021,ED,24588062,1259,379,99,39
F,55+,2,2021,ED,24607227,1219,365,95,30
F,55+,3,2021,ED,24626393,1411,423,119,46
F,55+,4,2021,ED,24645559,1611,486,122,36
F,55+,5,2021,ED,24664725,1674,499,131,41
F,55+,6,2021,ED,24683890,1632,503,151,39
F,55+,7,2021,ED,24703056,1805,605,187,43
F,55+,8,2021,ED,24720273,1718,564,182,34
F,55+,9,2021,ED,24737491,1586,551,161,45
F,55+,10,2021,ED,24754708,1532,527,157,34
F,55+,11,2021,ED,24771926,1371,455,140,38
F,55+,12,2021,ED,24789143,1491,500,146,36
F,55+,1,2022,ED,24202176,1299,438,111,32
F,55+,2,2022,ED,24219038,1296,401,97,38
F,55+,3,2022,ED,24235900,1547,479,123,36
F,55+,4,2022,ED,24252762,1451,464,118,43
F,55+,5,2022,ED,24269624,1528,487,137,46
F,55+,6,2022,ED,24286486,1537,518,109,47
F,55+,7,2022,ED,24303348,1670,528,160,47
F,55+,8,2022,ED,24320210,1700,572,146,38
F,55+,9,2022,ED,24337072,1548,505,141,31
F,55+,10,2022,ED,24353934,1548,504,112,46
F,55+,11,2022,ED,24370796,1429,464,105,33
F,55+,12,2022,ED,24387658,1464,456,100,33
M,0-14,1,2018,ED,14702404,1220,35,0,59
M,0-14,2,2018,ED,14696016,1079,36,0,50
M,0-14,3,2018,ED,14689629,1189,40,0,61
M,0-14,4,2018,ED,14683241,1212,35,0,60
M,0-14,5,2018,ED,14676853,1194,48,0,62
M,0-14,6,2018,ED,14670466,1142,25,0,49
M,0-14,7,2018,ED,14664078,1245,38,0,76
M,0-14,8,2018,ED,14655553,1197,32,0,59
M,0-14,9,2018,ED,14647028,1239,37,0,77
M,0-14,10,2018,ED,14638502,1248,51,0,74
M,0-14,11,2018,ED,14629977,1211,42,0,54
M,0-14,12,2018,ED,14621452,1165,32,0,61
M,0-14,1,2019,ED,14612927,1127,32,0,65
M,0-14,2,2019,ED,14604401,1041,44,0,70
M,0-14,3,2019,ED,14595876,1277,36,0,70
M,0-14,4,2019,ED,14587351,1125,37,0,52
M,0-14,5,2019,ED,14578826,1232,26,0,60
M,0-14,6,2019,ED,14570300,1170,37,0,52
M,0-14,7,2019,ED,14561775,1096,33,0,47
M,0-14,8,2019,ED,14562638,1258,27,0,87
M,0-14,9,2019,ED,14563502,1138,37,0,61
M,0-14,10,2019,ED,14564365,1215,37,0,75
M,0-14,11,2019,ED,14565228,1161,38,0,54
M,0-14,12,2019,ED,14566092,1105,39,0,59
M,0-14,1,2020,ED,14971630,1202,39,0,44
M,0-14,2,2020,ED,14972278,1137,30,0,51
M,0-14,3,2020,ED,14972926,957,28,0,40
M,0-14,4,2020,ED,14973575,686,26,0,41
M,0-14,5,2020,ED,14974223,924,34,0,54
M,0-14,6,2020,ED,14974871,919,32,0,48
M,0-14,7,2020,ED,14975519,1061,31,0,59
M,0-14,8,2020,ED,14955912,1083,36,0,47
M,0-14,9,2020,ED,14936306,999,44,0,60
M,0-14,10,2020,ED,14916699,1093,36,0,61
M,0-14,11,2020,ED,14897093,1026,42,0,52
M,0-14,12,2020,ED,14877486,945,49,0,46
M,0-14,1,2021,ED,14857880,1011,26,0,51
M,0-14,2,2021,ED,14838273,976,43,0,48
M,0-14,3,2021,ED,14818666,1085,24,0,48
M,0-14,4,2021,ED,14799060,1108,31,0,44
M,0-14,5,2021,ED,14779453,1263,44,0,63
M,0-14,6,2021,ED,14759847,1130,36,0,52
M,0-14,7,2021,ED,14740240,1219,31,0,55
M,0-14,8,2021,ED,14722462,1187,33,0,65
M,0-14,9,2021,ED,14704683,1064,32,0,50
M,0-14,10,2021,ED,14686905,1136,28,0,67
M,0-14,11,2021,ED,14669126,1098,34,0,42
M,0-14,12,2021,ED,14651348,1038,28,0,42
M,0-14,1,2022,ED,14230978,938,28,0,43
M,0-14,2,2022,ED,14213232,901,25,0,42
M,0-14,3,2022,ED,14195486,1095,29,0,47
M,0-14,4,2022,ED,14177741,1047,22,0,56
M,0-14,5,2022,ED,14159995,1143,38,0,47
M,0-14,6,2022,ED,14142250,1050,31,0,52
M,0-14,7,2022,ED,14124504,1131,34,0,58
M,0-14,8,2022,ED,14106758,1080,35,0,52
M,0-14,9,2022,ED,14089013,1102,26,0,65
M,0-14,10,2022,ED,14071267,1117,39,0,58
M,0-14,11,2022,ED,14053522,1037,41,0,36
M,0-14,12,2022,ED,14035776,978,27,0,40
M,15-24,1,2018,ED,10279920,1305,419,303,123
M,15-24,2,2018,ED,10270887,1348,451,298,113
M,15-24,3,2018,ED,10261855,1420,487,346,133
M,15-24,4,2018,ED,10252823,1344,427,310,108
M,15-24,5,2018,ED,10243791,1430,470,322,159
M,15-24,6,2018,ED,10234758,1280,474,331,113
M,15-24,7,2018,ED,10225726,1356,460,286,146
M,15-24,8,2018,ED,10218955,1434,503,331,129
M,15-24,9,2018,ED,10212183,1460,491,304,134
M,15-24,10,2018,ED,10205412,1419,447,267,148
M,15-24,11,2018,ED,10198640,1276,434,238,125
M,15-24,12,2018,ED,10191869,1320,424,233,121
M,15-24,1,2019,ED,10185098,1207,369,200,125
M,15-24,2,2019,ED,10178326,1153,335,188,120
M,15-24,3,2019,ED,10171555,1303,344,170,122
M,15-24,4,2019,ED,10164783,1283,374,203,143
M,15-24,5,2019,ED,10158012,1373,435,212,132
M,15-24,6,2019,ED,10151240,1297,432,219,129
M,15-24,7,2019,ED,10144469,1418,514,249,141
M,15-24,8,2019,ED,10173670,1393,498,231,125
M,15-24,9,2019,ED,10202872,1433,471,193,131
M,15-24,10,2019,ED,10232073,1478,510,244,144
M,15-24,11,2019,ED,10261274,1426,527,219,131
M,15-24,12,2019,ED,10290475,1550,524,203,144
M,15-24,1,2020,ED,10597320,1485,515,186,142
M,15-24,2,2020,ED,10627351,1508,583,204,123
M,15-24,3,2020,ED,10657383,1466,600,194,112
M,15-24,4,2020,ED,10687415,1407,646,211,131
M,15-24,5,2020,ED,10717446,1758,795,283,121
M,15-24,6,2020,ED,10747478,1654,709,224,134
M,15-24,7,2020,ED,10777510,1810,792,231,121
M,15-24,8,2020,ED,10770772,1823,786,214,147
M,15-24,9,2020,ED,10764033,1733,753,199,144
M,15-24,10,2020,ED,10757295,1701,734,183,130
M,15-24,11,2020,ED,10750557,1548,650,170,104
M,15-24,12,2020,ED,10743818,1539,701,186,102
M,15-24,1,2021,ED,10737080,1611,670,182,129
M,15-24,2,2021,ED,10730342,1440,603,133,102
M,15-24,3,2021,ED,10723603,1680,749,191,131
M,15-24,4,2021,ED,10716865,1823,824,155,141
M,15-24,5,2021,ED,10710127,1786,761,157,133
M,15-24,6,2021,ED,10703388,1617,717,161,135
